binary_name	all_observed_R2_diseaseResidual	all_observed_R2_diseaseResidual_se	all_observed_R2	all_observed_R2_se	all_liablity_R2	all_liablity_R2_se	observedR2_slope_per_year	observedR2_no_slope_estimate	observedR2_p_value	liabilityR2_slope_per_year	liabilityR2_no_slope_estimate	liabilityR2_p_value	observedR2diseasResidual_slope_per_year	observedR2diseasResidual_no_slope_estimate	observedR2diseasResidual_p_value	bootstrapping_se_observedR2_slope_per_year	bootstrapping_se_liabilityR2_slope_per_year	bootstrapping_se_observedR2diseasResidual_slope_per_year	bootstrapping_se_all_observed_R2_diseaseResidual	bootstrapping_se_all_observed_R2	bootstrapping_se_all_liablity_R2
t2d	0.0441588205406801	0.00216294955295243	0.0451467259544904	0.00218474972292728	0.0468787656932835	0.002268566949081	-0.000153403711326301	0.0557875690967708	0.549512959679912	0.00110961318757044	0.0462154308113933	8.63421956154298e-09	-0.00012917580635189	0.0549338396423422	0.612883869284583	0.000312195824962839	0.000236876626072142	0.000299476987648513	0.00240340541802542	0.00241334565367522	0.00253449228673879
hyperchol	0.0282573188165363	0.00128437325443515	0.0306790637656796	0.00133494429377021	0.0388298843563887	0.00168961259526135	-0.000921290034243238	0.039869634894159	5.8897175103656e-07	0.000365031598030873	0.0432749802747939	0.0330660847236082	-0.000868960381530538	0.0373693639415318	1.15067146377879e-06	0.000174509184066142	0.000164212339192988	0.000173779064858374	0.00111321775655654	0.00119633031172061	0.00151572515842931
hypertension	0.0385206071124795	0.00105769315910649	0.0377894361331286	0.00104840354243781	0.0571569524718318	0.00158572229644584	-0.00106165288824748	0.0525519848403298	4.44089209850063e-16	0.000399137117991472	0.0687347289204767	0.00689011643834903	-0.00103375446747082	0.0533433821435989	3.5527136788005e-15	0.000131927467556128	0.000153776489898897	0.000128000424262326	0.00105290813159946	0.0010689507183433	0.00161366889954388
obesity	0.0156211032987638	0.00104691040188837	0.00711691279802828	0.000712746844634613	0.00857809352853896	0.000859081636793498	-0.000152828587976694	0.00616749042195532	0.0119113724280545	-3.73280183832825e-05	0.00618604400343903	0.486672384597438	-9.21077631309783e-05	0.0131867287838322	0.278744978642327	5.9233679731316e-05	4.8917657720937e-05	7.76627386745045e-05	0.000837179722616019	0.000671421045910783	0.000810360752930158
CAD	0.0181553991392539	0.00153281373055249	0.0190171617580232	0.00156739329703936	0.0188543820996812	0.00155397700765685	-0.00095071101585015	0.0252294883588703	8.85756135493576e-06	-0.000111466809002579	0.0226347955268058	0.502026314111628	-0.000694069779172216	0.0242769583545428	0.000932567457630262	0.000198621057208858	0.000148795073632568	0.000190217946996055	0.00168482279638733	0.00169268444462251	0.0016867691718923
COPD	0.00905780330089909	0.00125582706434375	0.00905855459748407	0.00125587819318781	0.00823571853210168	0.00114180018438834	-0.000282916138847722	0.0120450436120904	0.143208271587562	6.62366048790281e-05	0.00937953519735189	0.615125856062033	-0.000256832811244063	0.0126277940765528	0.195705622779712	0.000205073586280729	0.000145722750968029	0.000198005906316233	0.00141747810517379	0.00145249363512315	0.00132277005193179
asthma	0.023963212424196	0.00131658814499288	0.0242798521505306	0.00132482808578767	0.0288320393321481	0.00157321779560053	-0.000674851260084208	0.0298964222727154	3.05315106530202e-10	-0.000212961045481811	0.0296626902931659	0.0173873923905384	-0.000674780103489304	0.0293138534368046	2.43796094423487e-10	0.000114967314696678	9.74111089640976e-05	0.000113005410085967	0.00130655295714313	0.00132255499162472	0.00157821168716691
anemia	0.002580134813758	0.000621269777175881	0.00342001975710294	0.000714673173084272	0.00327229395994374	0.000683803274165443	-6.21854589745959e-05	0.00208335163201817	0.398982264118022	-3.32859126418401e-05	0.00161382755753227	0.507811112325233	-4.46445350695566e-05	0.00141115922738683	0.465748666317476	7.96044442167854e-05	5.58005517023095e-05	6.19219147127413e-05	0.000531879816831118	0.000605937438622785	0.000578923369351453
highlipid	0.01922810851402	0.00201369807393544	0.0189445531141264	0.00199937288358473	0.0161472870736738	0.00170415463083624	-0.00045064171096636	0.0247228802896059	0.0615751321070764	0.000161052296844238	0.0183352943619697	0.314580202315097	-0.000315620823008661	0.0242088661443683	0.176266766795913	0.000262340833712837	0.000186464038527924	0.000259617358774325	0.00195381767424313	0.00197587282751589	0.00169075243443516
