binary_name	cox_slope_per_year	cox_no_slope_estimate	cox_p_value	linear_slope_per_year	linear_no_slope_estimate	linear_p_value	logistic_slope_per_year	logistic_no_slope_estimate	logistic_p_value	R2_slope_per_year	R2_no_slope_estimate	R2_p_value	all_cox_effects	all_cox_se	all_linear_effect	all_linear_se	all_logistic_effect	all_logistic_se	all_observed_R2	all_observed_R2_se	bootstrapping_se_cox_slope_per_year	bootstrapping_se_linear_slope_per_year	bootstrapping_se_logistic_slope_per_year	bootstrapping_se_R2_slope_per_year	bootstrapping_se_all_cox_effects	bootstrapping_se_all_linear_effect	bootstrapping_se_all_logistic_effect	bootstrapping_se_all_observed_R2
t2d	-0.00424938963665128	0.282223668743925	1.81558678691296e-06	-0.00127992874551595	0.101799274949551	2.43586467801871e-05	-0.00640810446109437	0.435199479165897	2.26067569952804e-06	-0.00110921563542223	0.0405926213079995	4.5547809205404e-06	0.306306273589637	0.00765922897730496	0.103760025607511	0.00259631154334479	0.446614610913763	0.0116809200659142	0.0442145633426902	0.0021641880769022	0.000584963004375015	0.000213880865428137	0.00102174090389477	0.000185923639825362	0.0050904961475563	0.00155623745082291	0.0074112686330599	0.0013507630804053
hyperchol	-0.00750871252633188	0.232031590503185	0	-0.00258176864204571	0.0820659104900692	0	-0.0117216322213587	0.340823588000302	0	-0.00163778661776731	0.0220375841491274	0	0.258606011106716	0.00565557728441111	0.0818004267232634	0.00192616745755485	0.344996896829773	0.0083483543045408	0.0268162852873267	0.0012530506917455	0.000548846808742907	0.00017349229499913	0.000766096450423653	0.000102955258420462	0.00376728301105118	0.00121868925571139	0.00535525168150205	0.00080900679456738
hypertension	-0.00865408690544513	0.260428109423044	0	-0.00286041168641006	0.0923464938364084	0	-0.012860025362126	0.381705677162189	0	-0.00197392789872593	0.0278537225945042	0	0.327739262343188	0.00401738432745507	0.0985775753082447	0.00136243607775028	0.417415780256208	0.00600287353941107	0.0394730164573592	0.0010696282900422	0.000282277593426517	0.000105874854348044	0.00047797942688181	6.74982687036982e-05	0.00192192493737008	0.000623947332021978	0.00287785881843441	0.000499216284762311
obesity	-0.00138823836333393	0.172434147657972	0.0198384415017149	-0.00030952291958717	0.0628051698039988	0.137288091609157	-0.00126002070013305	0.258301176243566	0.147171505497645	-0.000121403860529824	0.0125390165779384	0.169580283748704	0.190113161207404	0.00639678858923536	0.0680880140963528	0.00221908312163536	0.280919593579057	0.00931278614233774	0.0149349511696242	0.00102437313848086	0.000394897395819965	0.000142793088405059	0.000603630149835958	5.8657033872381e-05	0.00437372413966426	0.00151290698049732	0.00645567770300208	0.000656431040426276
CAD	-0.00519254055646726	0.188543271865586	4.91956894888013e-07	-0.00140400010587106	0.0667654303932109	5.7310551221601e-05	-0.00725274353743829	0.296940732496597	5.69327255839358e-06	-0.000759548084401028	0.0174687151652349	0.000200032990783083	0.194944278322849	0.00816600722611156	0.0643685100485179	0.00275247306228551	0.288365245827038	0.01255644994813	0.0178651007797125	0.00152095933935309	0.000775090249401742	0.000239938937628171	0.00113216539471402	0.000131038005878961	0.0067729006644336	0.00161900512011567	0.0075094008776304	0.000925734074025937
COPD	-0.00389435147479366	0.136240389080897	0.000965147415888712	-0.00118048171733222	0.0525118170208048	0.00491287370746674	-0.00487301413098316	0.21295206537764	0.00468975499591717	-0.000495156743863044	0.00951838556450114	0.00334418880537568	0.131522877852382	0.00884709776441054	0.0496128272669422	0.00332531555856903	0.202069132736185	0.0136730102404139	0.00965861098755657	0.0012960219011667	0.000898466154684509	0.000316945627520468	0.00131819481749133	0.000138500962646458	0.00600749509469533	0.00213776502532056	0.00883581774161285	0.000793405483577383
asthma	-0.00335666117405113	0.21558630473932	1.50990331349021e-14	-0.000959433211824757	0.0760559019206464	2.03651318031461e-10	-0.00423510084406376	0.311805271054159	5.25200993806152e-11	-0.000569463764783071	0.0212933481326623	3.9053903444497e-09	0.245645075330051	0.00621603433011741	0.0820681981640939	0.00214396944251441	0.339249987809853	0.00910529963820609	0.0270465945540442	0.0013943107392752	0.000247303530076109	9.16625394935447e-05	0.00039463828716451	5.04672842980319e-05	0.00355810675274901	0.00120203016019499	0.00523656946474559	0.000762690077059353
anemia	-0.00056361648988759	0.0704512137330822	0.476125509590134	0.000134440705874448	0.0253268753723035	0.619772055112231	0.000225518768269823	0.104727984225546	0.846217904138232	1.73543968139561e-05	0.00246629717441373	0.748567519773859	0.0654771628275227	0.00877049798824613	0.0247608523290245	0.0031067354019913	0.0996435755621042	0.0125323442653613	0.0023073411845981	0.000587670241878752	0.00054427817977066	0.00019099150796814	0.000805370261069666	3.46606379575598e-05	0.00674108379460709	0.00221070409087592	0.0089683419366593	0.000404214987927765
highlipid	-0.00796619061255524	0.184847719981982	1.29393384895593e-10	-0.00269933417905475	0.067907277281301	3.05479752604754e-10	-0.0124512164279691	0.280122307689623	1.81027415280255e-11	-0.00152527142621269	0.00827050061061384	4.55191440096314e-15	0.215386540822086	0.0103628692104311	0.0702249019746642	0.00362378793347976	0.293651802167077	0.0154680894381672	0.0201591230761768	0.00205991563206511	0.00133585131710206	0.000278257970810329	0.00120423439687122	0.000142773221129856	0.00948133818748209	0.00230558268443055	0.00995307536021618	0.00126167124400634
