quant_name	phenotype_cor_0_1	average_age_diff_0_1	phenotype_cor_0_2	average_age_diff_0_2	sampe_size	cor_12_denoise	average_age_diff_1_2	per_10_year_cor	se_cor_12_denoise	se_per_10_year_cor
bmi	0.93479861144022	3.94685227644939	0.905096636135435	8.72953815918769	3053	0.968226337800156	4.78268588273829	0.934715468006707	0.00415026382027013	0.0083526833141527
height	0.995357108740558	3.94634945894335	0.990833002074944	8.88027052832591	3142	0.995454790420557	4.93392106938256	0.990809330346073	0.00117926164661553	0.00235986419768847
body_WHR	0.82497183153352	3.94675262655205	0.794759129352267	8.88072906717606	3141	0.963377292379679	4.93397644062401	0.927169543190968	0.00808997543436232	0.0158900225821027
FEV1_FVC	0.530878532569117	3.92672710367271	0.460235226302684	8.15624825662483	2151	0.866931318686849	4.22952115295212	0.713469003057288	0.0583895187498736	0.114454886242698
cov_SMOKING_STATUS	0.875916239332218	3.94646946564886	0.811933088481623	8.88206743002545	3144	0.926952888897945	4.93559796437659	0.857542454454513	0.0228947953410123	0.0426888647408668
biochemistry_HbA1c_corrected					0					
biochemistry_LDLdirect_corrected					0					
biochemistry_Triglycerides_corrected					0					
biochemistry_Glucose					0					
biochemistry_Cholesterol_corrected					0					
blood_RBC_DISTRIB_WIDTH	0.55556090015659	3.95110687022901	0.532258964227442	6.27370229007634	524	0.958056918831797	2.32259541984733	0.831533533592496	0.11916040358928	0.53516131425543
blood_MEAN_CORPUSCULAR_HEMOGLOBIN	0.75562963975729	3.95110687022901	0.716089394261119	6.27370229007634	524	0.947672452990499	2.32259541984733	0.793416936459963	0.053616958510487	0.194791936168114
blood_EOSINOPHIL_COUNT	0.62283052030664	3.94975143403442	0.639131533992246	6.27166347992352	523	1.02617247092769	2.3219120458891	1.11769624759327	0.0984402335840221	0.551428336912001
Systolic_bp_corrected	0.741364217047754	3.93795731707317	0.650195536074836	8.08581173780488	2624	0.877025787222416	4.14785442073171	0.728801673414163	0.0149970566636019	0.0300374198968338
Diastolic_bp_corrected	0.723274235813182	3.93795731707317	0.617894663471186	8.08581173780488	2624	0.854302051526117	4.14785442073171	0.684105479446292	0.0158258994794327	0.0302433634688577
blood_HIGH_LIGHT_SCATTER_RETICULOCYTE_COUNT	0.616063027818205	3.90753886010363	0.60418539350564	6.27121761658031	386	0.980720098794713	2.36367875647669	0.92093675952798	0.0677264651977841	0.300694911480655
