binary_name,age_bin_idx,age_median_quintile,cox_effects,cox_se,observed_R2,observed_R2_se,logistic_effect,logistic_se,linear_effect,linear_se
t2d,1,47.7020123835616,0.319544487239289,0.0171725374822653,0.0526564926321027,0.00523482114142168,0.494366112746219,0.0265711333915536,0.113167217328499,0.00577259999095552
t2d,2,56.1916295342466,0.324424625333351,0.017113725592972,0.0539630965424971,0.00529244546850472,0.503227024962719,0.0267650418654116,0.114183748913604,0.00575073474667174
t2d,3,61.38326,0.287478970300335,0.0168656538552493,0.0450476512955491,0.00488074567529954,0.450920574138427,0.0261487838946307,0.104784586254101,0.00581008950204701
t2d,4,66.3770703561644,0.26279755722996,0.0170765111993417,0.0342603318702956,0.00430482732779631,0.388128728952907,0.0256732983757709,0.0916753330195711,0.00586089441074335
t2d,5,72.8336699178082,0.217715167730481,0.0170270740244495,0.0286373619572531,0.00395865616446328,0.351423011624211,0.0253524163978641,0.0840914774593909,0.00589632120211345
hyperchol,1,50.3391232876713,0.326417428469615,0.012584991196215,0.0519351888467735,0.00379881832386507,0.496316735490362,0.0195085727165883,0.113699179056949,0.00423968543111564
hyperchol,2,58.3130645479452,0.263558617365616,0.012602428099231,0.0341049193159027,0.00313630367289957,0.38980394630669,0.0187791521714163,0.0927053588799543,0.00431432457438317
hyperchol,3,63.3413698630137,0.235174878336541,0.0125729315456727,0.0272220578431731,0.00282197933945492,0.345859476412304,0.0185810715657441,0.0827831633587826,0.00432648287044172
hyperchol,4,67.9725479452055,0.185207709201332,0.0125534625405921,0.0169928074343409,0.00225304000293342,0.271535049421813,0.0183517938856896,0.0653578187803562,0.00434322940275742
hyperchol,5,73.8548493150685,0.152320990480477,0.0124144527273833,0.0116440713324436,0.00187519069632906,0.223027510449499,0.0181824952303089,0.0539809079659558,0.00435024577712775
hypertension,1,47.0847120684932,0.389068955303169,0.00897663659454947,0.0712960143324833,0.00310796857039911,0.57892521706474,0.0140657056576842,0.132912391138881,0.00300514754816512
hypertension,2,55.0159734520548,0.277922003052411,0.00889782579789562,0.0391735813698869,0.00238350894107107,0.414162221267487,0.0133667117362558,0.0984986717441311,0.00305714107785997
hypertension,3,60.31662,0.266600565580916,0.00885541103463165,0.0366454233991496,0.00231133406306118,0.401379936011983,0.0133711205205101,0.0950909595719628,0.00305333645279255
hypertension,4,65.483663260274,0.206706347981177,0.00889351411330208,0.0215684446631199,0.0018010056512484,0.302924880065227,0.013059383765136,0.0729466141459064,0.00307755495671501
hypertension,5,72.2192032739726,0.164308742695968,0.00888746056731791,0.0143136493289267,0.00147805004816655,0.244478336562501,0.0128845327772338,0.0596874108136852,0.0031009965856828
obesity,1,40.438425,0.198231184639969,0.0141642281244709,0.0157106188856546,0.00234751085644658,0.287151292201885,0.0207887394486144,0.0698555103601946,0.00496917817042001
obesity,2,49.89951,0.162704042126798,0.014234069002487,0.0108676537443152,0.00196214057819378,0.236543604042062,0.0205959815707164,0.0575691067119555,0.00495305519838214
obesity,3,56.37943,0.19093649916591,0.0142282881939007,0.015416917962575,0.00232626383187008,0.282128419839214,0.0207032612240084,0.0683758475342,0.00493431924527725
obesity,4,63.1812230136987,0.162027376822155,0.0142794552146179,0.0120392620884754,0.0020627540047663,0.251268155008296,0.0207223729429891,0.0610992735057323,0.00496907987123484
obesity,5,71.4443835616438,0.147814875793491,0.0142690745131103,0.0104750019675061,0.00192713280963874,0.234825845221727,0.0207207497759515,0.0570673145876236,0.00497526048531716
CAD,1,51.1670213972603,0.264880964738429,0.0181879864766031,0.0352117420716817,0.0046908928343556,0.417070588868183,0.0291843999518316,0.0894270307770047,0.00603538765345122
CAD,2,57.986239,0.196610168270913,0.0182030161541426,0.0201159152817837,0.00360101017983594,0.308523358641385,0.0283715204733644,0.0676485753646432,0.00609792394017996
CAD,3,62.9215774657535,0.17605822954274,0.0180174042887227,0.0149860877459415,0.00312465948047247,0.265803895389409,0.0282102898955473,0.0589241620072068,0.00615917309295715
CAD,4,67.8305588630137,0.168936718823803,0.0178920238934426,0.0162342229734797,0.00324778453801182,0.273280275653213,0.0278837556297934,0.0617883564442824,0.00620636391297352
CAD,5,74.1077123287671,0.136269775624653,0.018340427468811,0.0123133116748669,0.00284002937721367,0.233086546251525,0.0272685161259016,0.0544750859645062,0.00629685956208731
COPD,1,52.325186739726,0.169937625689129,0.0209373234691613,0.0157320560568297,0.00367620452918109,0.259135468069379,0.0307710274535757,0.0636003796053944,0.00743874700687385
COPD,2,60.9030798630137,0.177398402048446,0.0213547154889091,0.0157765950148162,0.00368123810818035,0.259901304358432,0.0307831307510378,0.06381064105338,0.00744528175149787
COPD,3,65.85642,0.132724707869874,0.0211468282731138,0.00959422478713026,0.00288876152397317,0.200304656282688,0.0304607534874157,0.0492297051744193,0.00742023623041478
COPD,4,70.2419726027397,0.117751995398741,0.0209137623730998,0.00941073048178191,0.00286185095347052,0.198955223268138,0.0304790557444661,0.0489935446324912,0.00744209120345049
COPD,5,75.4686575342466,0.0850839698410363,0.0209109353840753,0.00527323677481858,0.00215097826015698,0.148835604170495,0.0303464625830291,0.0368167378946834,0.00747242040987922
asthma,1,27.51352,0.306313193354879,0.0138832676683342,0.0415988849729123,0.00380891149101151,0.429021462768286,0.0208859421738602,0.101631195038787,0.00474959673592923
asthma,2,43.7728904109589,0.21635371856964,0.0138894128559781,0.0237432593498939,0.00293121003906219,0.317932129613973,0.0203146628886513,0.0768986812121973,0.00479929496740896
